feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch03_rms,ch03,RMS,0.0222464322363048,0.0226826256161341,0.8944953609835081,1.0,2,1,0,DROP,ch03_fft-maxpower
ch03_maxabs,ch03,Max,0.0184876939662264,0.0187964949450211,0.7433621855591169,0.8286736845690039,3,1,0,DROP,ch03_fft-maxpower
ch06_rms,ch06,RMS,0.0156277017147046,0.0164107870817207,0.6283662269145609,0.723495919716092,5,1,0,DROP,ch06_maxabs
ch05_maxabs,ch05,Max,0.0149577878537016,0.0141201414811856,0.6014300047572008,0.622509127476936,6,1,0,DROP,ch06_maxabs
ch03_mav,ch03,MAV,0.0148953609554149,0.0163970982889544,0.5989199136861988,0.722892427289864,7,1,0,DROP,ch03_fft-maxpower
ch05_rms,ch05,RMS,0.0146164687102744,0.0128849037173216,0.5877060787286404,0.5680516856988833,8,1,0,DROP,ch06_maxabs
ch06_mav,ch06,MAV,0.0142814589759368,0.0152057368852896,0.5742358444876522,0.6703693453580547,9,1,0,DROP,ch06_maxabs
ch05_mav,ch05,MAV,0.0142205856500984,0.0138998079720204,0.5717882202128136,0.6127953706617436,10,1,0,DROP,ch06_maxabs
ch05_fft-maxpower,ch05,FFT,0.0141880930167872,0.0148273552156991,0.5704817406185007,0.6536877814159429,11,1,0,DROP,ch06_maxabs
ch06_thresh2-events,ch06,Thresh,0.0122166648316074,0.0112863338383554,0.4912135978698555,0.4975761637721273,13,1,0,DROP,
ch04_maxabs,ch04,Max,0.0121765046970137,0.0116916824498644,0.4895988196569302,0.5154466086830869,14,1,0,DROP,ch04_fft-maxpower
ch04_rms,ch04,RMS,0.0121311992361467,0.0120770567256795,0.4877771556641448,0.5324364529073373,16,1,0,DROP,ch04_fft-maxpower
ch04_mav,ch04,MAV,0.0111251567624296,0.0117163927791384,0.4473257108601689,0.5165360032572501,18,1,0,DROP,ch04_fft-maxpower
ch09_fft-maxpower,ch09,FFT,0.0104267248669569,0.011360271754429,0.4192428217107031,0.5008358356163367,21,1,0,DROP,ch10_fft-maxpower
ch13_fft-maxpower,ch13,FFT,0.0100921108863613,0.0101886032199091,0.4057885001285414,0.449180945466118,22,1,0,DROP,ch13_mav
ch02_rms,ch02,RMS,0.0098668889145509,0.0132012430926808,0.3967326656092803,0.581998015401305,23,1,0,DROP,ch03_fft-maxpower
ch13_rms,ch13,RMS,0.0096150595264681,0.0108951567532974,0.3866069871631079,0.4803304933776146,24,1,0,DROP,ch13_mav
ch05_thresh2-events,ch05,Thresh,0.0095455972176532,0.0090633767641039,0.3838140128857869,0.3995735289858657,26,1,0,DROP,ch04_thresh2-events
ch15_maxabs,ch15,Max,0.0092970846943612,0.0090171245977587,0.3738217005513976,0.3975344279078908,27,1,0,DROP,
ch10_rms,ch10,RMS,0.0090102238658103,0.0114649961802675,0.3622874609186742,0.5054527802157307,28,1,0,DROP,ch10_fft-maxpower
ch10_maxabs,ch10,Max,0.0088060757957001,0.0099812186625449,0.3540789760826518,0.4400380639993143,29,1,0,DROP,ch10_fft-maxpower
ch09_rms,ch09,RMS,0.0088021757544234,0.0099802128509529,0.3539221613272541,0.4399937211790009,30,1,0,DROP,ch10_fft-maxpower
ch02_maxabs,ch02,Max,0.0087761475688906,0.0124483058190497,0.3528756073914743,0.5488035657651242,31,1,0,DROP,ch03_fft-maxpower
ch02_mav,ch02,MAV,0.0087417608230279,0.0106911086757373,0.3514929683989956,0.471334705984514,33,1,0,DROP,
ch14_mav,ch14,MAV,0.0084567316090367,0.008620889337374,0.340032375214805,0.3800657597258946,34,1,0,DROP,ch14_rms
ch13_maxabs,ch13,Max,0.0080790155620254,0.0078134797045859,0.3248449847949965,0.3444698086022384,35,1,0,DROP,ch13_mav
ch01_rms,ch01,RMS,0.008039465179043,0.0074984670016999,0.3232547237712473,0.3305819673876858,36,1,0,DROP,ch00_mav
ch10_mav,ch10,MAV,0.0077540082859463,0.0099140241113383,0.3117769342576963,0.4370756842314802,37,1,0,DROP,ch10_fft-maxpower
